date,type,duration,intensity,muscle_group,calories
2025-01-01,cardio,25,low,cardio_system,200
2025-01-02,strength,40,medium,chest,350
2025-01-03,rest,0,none,none,0
2025-01-04,cardio,28,low,cardio_system,220
2025-01-05,strength,42,medium,back,380
2025-01-06,rest,0,none,none,0
2025-01-07,cardio,30,medium,cardio_system,280
2025-01-08,strength,45,medium,legs,400
2025-01-09,rest,0,none,none,0
2025-01-10,cardio,32,medium,cardio_system,300
2025-01-11,strength,48,high,shoulders,420
2025-01-12,rest,0,none,none,0
2025-01-13,cardio,22,low,cardio_system,180
2025-01-14,strength,50,high,chest,450
2025-01-15,rest,0,none,none,0
2025-01-16,cardio,28,medium,cardio_system,260
2025-01-17,strength,42,medium,back,380
2025-01-18,rest,0,none,none,0
2025-01-19,cardio,35,medium,cardio_system,320
2025-01-20,strength,52,high,legs,460
2025-01-21,rest,0,none,none,0
2025-01-22,cardio,30,medium,cardio_system,280
2025-01-23,strength,48,medium,shoulders,420
2025-01-24,rest,0,none,none,0
2025-01-25,cardio,38,high,cardio_system,340
2025-01-26,strength,50,high,chest,450
2025-01-27,rest,0,none,none,0
2025-01-28,cardio,26,low,cardio_system,240
2025-01-29,strength,45,medium,back,400
2025-01-30,rest,0,none,none,0
2025-01-31,cardio,32,medium,cardio_system,300
2025-02-01,strength,48,high,shoulders,430
2025-02-02,rest,0,none,none,0
2025-02-03,cardio,35,medium,cardio_system,320
2025-02-04,strength,52,high,legs,470
2025-02-05,rest,0,none,none,0
2025-02-06,cardio,38,medium,cardio_system,350
2025-02-07,strength,50,high,chest,460
2025-02-08,rest,0,none,none,0
2025-02-09,cardio,40,high,cardio_system,380
2025-02-10,strength,55,high,back,490
2025-02-11,rest,0,none,none,0
2025-02-12,cardio,32,medium,cardio_system,300
2025-02-13,strength,52,high,shoulders,470
2025-02-14,rest,0,none,none,0
2025-02-15,cardio,36,medium,cardio_system,330
2025-02-16,strength,48,high,legs,440
2025-02-17,rest,0,none,none,0
2025-02-18,cardio,42,high,cardio_system,400
2025-02-19,strength,58,high,chest,520
2025-02-20,rest,0,none,none,0
2025-02-21,cardio,35,medium,cardio_system,320
2025-02-22,strength,52,high,back,470
2025-02-23,rest,0,none,none,0
2025-02-24,cardio,40,high,cardio_system,380
2025-02-25,strength,55,high,shoulders,490
2025-02-26,rest,0,none,none,0
2025-02-27,cardio,38,medium,cardio_system,350
2025-02-28,strength,50,high,legs,460
2025-03-01,rest,0,none,none,0
2025-03-02,cardio,42,high,cardio_system,400
2025-03-03,strength,60,high,chest,540
2025-03-04,rest,0,none,none,0
2025-03-05,cardio,38,medium,cardio_system,350
2025-03-06,strength,55,high,back,490
2025-03-07,rest,0,none,none,0
2025-03-08,cardio,45,high,cardio_system,430
2025-03-09,strength,62,high,shoulders,550
2025-03-10,rest,0,none,none,0
2025-03-11,cardio,35,medium,cardio_system,320
2025-03-12,strength,58,high,legs,520
2025-03-13,rest,0,none,none,0
2025-03-14,cardio,48,high,cardio_system,460
2025-03-15,strength,65,high,chest,580
2025-03-16,rest,0,none,none,0
2025-03-17,cardio,40,medium,cardio_system,380
2025-03-18,strength,60,high,back,540
2025-03-19,rest,0,none,none,0
2025-03-20,cardio,42,high,cardio_system,400
2025-03-21,strength,62,high,shoulders,550
2025-03-22,rest,0,none,none,0
2025-03-23,cardio,45,high,cardio_system,430
2025-03-24,strength,58,high,legs,520
2025-03-25,rest,0,none,none,0
2025-03-26,cardio,50,high,cardio_system,480
2025-03-27,strength,65,high,chest,580
2025-03-28,rest,0,none,none,0
2025-03-29,cardio,40,medium,cardio_system,380
2025-03-30,strength,60,high,back,540
2025-03-31,rest,0,none,none,0
2025-04-01,cardio,48,high,cardio_system,460
2025-04-02,strength,65,high,shoulders,580
2025-04-03,rest,0,none,none,0
2025-04-04,cardio,52,high,cardio_system,500
2025-04-05,strength,68,high,legs,600
2025-04-06,rest,0,none,none,0
2025-04-07,cardio,45,high,cardio_system,430
2025-04-08,strength,62,high,chest,550
2025-04-09,rest,0,none,none,0
2025-04-10,cardio,50,high,cardio_system,480
2025-04-11,strength,65,high,back,580
2025-04-12,rest,0,none,none,0
2025-04-13,cardio,48,high,cardio_system,460
2025-04-14,strength,62,high,shoulders,550
2025-04-15,rest,0,none,none,0
2025-04-16,cardio,55,high,cardio_system,520
2025-04-17,strength,70,high,legs,620
2025-04-18,rest,0,none,none,0
2025-04-19,cardio,50,high,cardio_system,480
2025-04-20,strength,65,high,chest,580
2025-04-21,rest,0,none,none,0
2025-04-22,cardio,52,high,cardio_system,500
2025-04-23,strength,68,high,back,600
2025-04-24,rest,0,none,none,0
2025-04-25,cardio,48,high,cardio_system,460
2025-04-26,strength,62,high,shoulders,550
2025-04-27,rest,0,none,none,0
2025-04-28,cardio,55,high,cardio_system,520
2025-04-29,strength,70,high,legs,620
2025-04-30,rest,0,none,none,0
2025-05-01,cardio,55,high,cardio_system,520
2025-05-02,strength,72,high,chest,640
2025-05-03,rest,0,none,none,0
2025-05-04,cardio,58,high,cardio_system,560
2025-05-05,strength,75,high,back,660
2025-05-06,rest,0,none,none,0
2025-05-07,cardio,52,high,cardio_system,500
2025-05-08,strength,70,high,shoulders,620
2025-05-09,rest,0,none,none,0
2025-05-10,cardio,60,high,cardio_system,580
2025-05-11,strength,78,high,legs,680
2025-05-12,rest,0,none,none,0
2025-05-13,cardio,56,high,cardio_system,540
2025-05-14,strength,72,high,chest,640
2025-05-15,rest,0,none,none,0
2025-05-16,cardio,54,high,cardio_system,520
2025-05-17,strength,70,high,back,620
2025-05-18,rest,0,none,none,0
2025-05-19,cardio,58,high,cardio_system,560
2025-05-20,strength,75,high,shoulders,660
2025-05-21,rest,0,none,none,0
2025-05-22,cardio,62,high,cardio_system,600
2025-05-23,strength,80,high,legs,700
2025-05-24,rest,0,none,none,0
2025-05-25,cardio,56,high,cardio_system,540
2025-05-26,strength,72,high,chest,640
2025-05-27,rest,0,none,none,0
2025-05-28,cardio,60,high,cardio_system,580
2025-05-29,strength,75,high,back,660
2025-05-30,rest,0,none,none,0
2025-05-31,cardio,58,high,cardio_system,560
2025-06-01,strength,78,high,shoulders,680
2025-06-02,rest,0,none,none,0
2025-06-03,cardio,65,high,cardio_system,620
2025-06-04,strength,85,high,legs,740
2025-06-05,rest,0,none,none,0
2025-06-06,cardio,60,high,cardio_system,580
2025-06-07,strength,80,high,chest,700
2025-06-08,rest,0,none,none,0
2025-06-09,cardio,62,high,cardio_system,600
2025-06-10,strength,82,high,back,720
2025-06-11,rest,0,none,none,0
2025-06-12,cardio,65,high,cardio_system,620
2025-06-13,strength,85,high,shoulders,740
2025-06-14,rest,0,none,none,0
2025-06-15,cardio,58,high,cardio_system,560
2025-06-16,strength,78,high,legs,680
2025-06-17,rest,0,none,none,0
2025-06-18,cardio,62,high,cardio_system,600
2025-06-19,strength,80,high,chest,700
2025-06-20,rest,0,none,none,0
2025-06-21,cardio,65,high,cardio_system,620
2025-06-22,strength,82,high,back,720
2025-06-23,rest,0,none,none,0
2025-06-24,cardio,60,high,cardio_system,580
2025-06-25,strength,80,high,shoulders,700
2025-06-26,rest,0,none,none,0
